ID,Description,Entry_ID
sprudeln-2,sprudeln,1037-buzog
sprudeln-3, sprudeln,8673-szemereg
sichbeeifern-1,  sich beeifern,980-bugyog
sichbeeifern-2,  sich beeifern,1037-buzog
sichbeeifern-3,  sich beeifern,6551-nyuzsog
sichbeeifern-4,sich beeifern,8469-surog
sichbeeifern-5,  sich beeifern,8469-surog
sichbeeifern-6,  sich beeifern,8469-surog
einwickeln-1,einwickeln,981-bugyolal
einwickeln-2,  einwickeln,1018-burok
einwickeln-3, einwickeln,3047-gomolyit
einwickeln-4,  einwickeln,4850-kot
einwickeln-5,einwickeln,7015-patyokal
Gepack-1, Gepäck,982-bugyor
Gepack-2, Gepäck,1029-butor
Gepack-3, Gepäck,1584-csomag
Gepack-4, Gepäck,6471-nyalab
Gepack-5, Gepäck,7375-porteka
Gepack-6,Gepäck,9187-tergenye
Gepack-7, Gepäck,10021-zajda
Ranzen-1,  Ranzen,982-bugyor
Ranzen-2, Ranzen,3974-iszak
Ranzen-3,Ranzen,4416-kapsa
Ranzen-4,  Ranzen,7077-pera
Ranzen-5,  Ranzen,8721-szerda
Ranzen-6,  Ranzen,8721-szerda
Ranzen-7, Ranzen,8950-szutyo
Ranzen-8,Ranzen,9062-tarisznya
Ranzen-9,Ranzen,9084-taska
Ranzen-10,Ranzen,10015-zacsko
Ranzen-11, Ranzen,10101-zsak
ArtHefegeback-1,  Art Hefegebäck,982-bugyor
wollustig-1,wollüstig,983-buja
wollustig-2, wollüstig,8773-szilaj
uppig-1,  üppig,983-buja
uppig-2,  üppig,1990-dus
uppig-3, üppig,1991-duska
uppig-4, üppig,9384-tomor
Kebsweib-1,  Kebsweib,983-buja
Kebsweib-2,  Kebsweib,999-bulya
Wollustling-1,  Wollüstling,983-buja
sichverbergen-1,sich verbergen,984-bujik
sichverbergen-2, sich verbergen,2198-enyeszik
hineindringeninetw-1,  hineindringen in etw,984-bujik
tauchen-1,  tauchen,984-bujik
tauchen-2,tauchen,989-bukik
tauchen-3,tauchen,5829-mart
sichinetwvertiefen-1,  sich in etw vertiefen,984-bujik
schlupfenineinKleidungsstuck-1,  schlüpfen 〈in ein Kleidungsstück〉,984-bujik
aufgehenPflanze-1,  aufgehen 〈Pflanze〉,984-bujik
Verbannter-1,  Verbannter,984-bujik
Ausweg-1,  Ausweg,984-bujik
Ausweg-2,   Ausweg,2043-egerut
Ausweg-3,  Ausweg,7762-res
verstecken-1,verstecken,985-bujt
verstecken-2,  verstecken,1968-dug
verstecken-3, verstecken,7711-rejt
verstecken-4,  verstecken,9146-temet
einsammeln-1, einsammeln,985-bujt
ablegenPflanzentrieb-1,  ablegen 〈Pflanzentrieb,985-bujt
Auslaufer-1, Ausläufer,985-bujt
besWeinrebe-1, bes Weinrebe〉,985-bujt
jmdmetweingeben-1,jmdm etw eingeben,986-bujt
jmdnzuetwbewegen-1, jmdn zu etw bewegen,986-bujt
aufhetzenzuetwBosem-1,  aufhetzen zu etw Bösem,986-bujt
Purzelbaum-1,Purzelbaum,988-bukfenc
zumAusdruckderEntrustungundderGeringachtung-1,  〈zum Ausdruck der Entrüstung und der Geringachtung〉,988-bukfenc
BockspringenKinderspiel-1,  Bockspringen 〈Kinderspiel〉,988-bukfenc
Rachlagen-1,  Rachlagen,988-bukfenc
ungenugendeAntwortbzwNoteungenugendinderSchulerspr-1,  ungenügende Antwort bzw Note »ungenügend« 〈in der Schülerspr〉,988-bukfenc
alsscherzhafteAnrede-1,  〈als scherzhafte Anrede〉,988-bukfenc
alsscherzhafteAnrede-2, 〈als scherzhafte Anrede〉,2403-fasz
eineNiederlageerleiden-1,  eine Niederlage erleiden,989-bukik
aufetwstoen-1,  auf etw stoßen,989-bukik
diefuhrendeRolleverlieren-1,  die führende Rolle verlieren,989-bukik
fallieren-1,  fallieren,989-bukik
zuFallkommen-1,  zu Fall kommen,989-bukik
durchfallenineinemUnterrichtsfach-1,  durchfallen 〈in einem Unterrichtsfach〉,989-bukik
derPolizeiindieHandefallen-1,  der Polizei in die Hände fallen,989-bukik
erpichtsein-1,  erpicht sein,989-bukik
erpichtsein-2, erpicht sein,7729-remeg
groKopf-1,groß 〈Kopf〉,990-buksi
untertauchendWassertier-1,  untertauchend 〈Wassertier〉,990-buksi
hinterlistig-1,  hinterlistig,990-buksi
hinterlistig-2,  hinterlistig,1020-busa
hinterlistig-3,  hinterlistig,1218-cigany
hinterlistig-4,  hinterlistig,2676-fondor
hinterlistig-5,  hinterlistig,8128-sandal
hinterlistig-6,  hinterlistig,8435-sumak
damlich-1,  dämlich,990-buksi
eigensinnig-1,  eigensinnig,990-buksi
eigensinnig-2,  eigensinnig,1020-busa
eigensinnig-3,  eigensinnig,1021-busas
eigensinnig-4, eigensinnig,4415-kapric
eigensinnig-5,  eigensinnig,5873-makacs
eigensinnig-6, eigensinnig,5879-makrancos
eigensinnig-7,  eigensinnig,6195-mokany
eigensinnig-8,  eigensinnig,9705-vakmero
Kopfhanger-1,  Kopfhänger,990-buksi
Mensch-1,  Mensch,990-buksi
Mensch-2,  Mensch,1413-cseled
Mensch-3,  Mensch,1592-csont
Mensch-4,Mensch,2169-ember
Mensch-5,  Mensch,2506-ferfi
Mensch-6,  Mensch,2760-frater
Mensch-7,  Mensch,5553-lelek
Mensch-8, Mensch,5568-leny
Mensch-9, Mensch〉,7892-rokkan
Mensch-10, Mensch,7998-rugy
Mensch-11,  Mensch,8667-szemely
Mensch-12, Mensch〉,8710-szepe
besKindmitgroemKopf-1, bes Kind mit großem Kopf,990-buksi
KopfbeseinesKindes-1,   Kopf 〈bes eines Kindes〉,990-buksi
Geldbuchse-1,Geldbüchse,991-buksza
Geldbuchse-2,Geldbüchse,7186-pinka
BuchseinderRadnabe-1,  Buchse in der Radnabe,991-buksza
SchreibtafelausBuchsbaumholz-1,Schreibtafel aus Buchsbaumholz,992-bukszus
Buchsbaum-1,  Buchsbaum,992-bukszus
Buchsbaum-2,Buchsbaum,5261-kruspan
Buchsbaum-3,Buchsbaum,5950-mazalin
Buchsbaum-4,Buchsbaum ,7569-puszpang
verschArtenvonMehlspeisen-1,versch Arten von Mehlspeisen,993-bukta
Kuchen-1, Kuchen,993-bukta
Kuchen-2, Kuchen,4260-kalacs
Kuchen-3, Kuchen,4260-kalacs
Kuchen-4,  Küchen-,5300-kulinaris
Kuchen-5,Kuchen,6790-palacsinta
Kuchen-6,  Kuchen,6965-paszka
gefulltesHefegeback-1,  gefülltes Hefegebäck,993-bukta
Lumpen-1,Lumpen,994-bulandra
Lumpen-2, Lumpen,2673-foncsika
Lumpen-3, Lumpen,2674-foncs
Lumpen-4, Lumpen,4391-kapca
Lumpen-5, Lumpen,5691-lomp
Lumpen-6,Lumpen,7822-ribanc
Dirne-1,  Dirne,994-bulandra
Dirne-2, Dirne,5723-lucskos
zerlumpterMensch-1,  zerlumpter Mensch,994-bulandra
Bulldogge-1,Bulldogge,995-buldog
eineRundeodeinePartieimKartenspiel-1,eine Runde od eine Partie 〈im Kartenspiel〉,996-buli
gemeinsamesUnternehmen-1,  gemeinsames Unternehmen,996-buli
angenehmerZeitvertreib-1, angenehmer Zeitvertreib,996-buli
TellerfurdieEinsatzederKartenspieler-1,  Teller für die Einsätze der Kartenspieler,996-buli
Verbrechen-1,  Verbrechen,996-buli
Verbrechen-2,  Verbrechen,2356-faktum
Verbrechen-3, Verbrechen〉,2717-fobenjaro
Verbrechen-4,  Verbrechen,8385-stikli
BudenzauberbesvonJugendlichen-1,  Budenzauber 〈bes von Jugendlichen〉,996-buli
papstlicherodkoniglicherErlabzwUrkunde-1,päpstlicher od königlicher Erlaß bzw Urkunde,997-bulla
AgraffealsSchmuckstuck-1,  Agraffe 〈als Schmuckstück〉,997-bulla
Siegelkapsel-1,  Siegelkapsel,997-bulla
Ringstrae-1,Ringstraße,998-bulvar
breiteAlleeineinerStadt-1, breite Allee in einer Stadt,998-bulvar
Bollwerk-1, Bollwerk,998-bulvar
Promenade-1,  Promenade,998-bulvar
Promenade-2,Promenade,8073-setany
turkischeFrau-1,türkische Frau,999-bulya
turkisch-1,  türkisch,999-bulya
orientalisch-1, orientalisch,999-bulya
dunn-1,  dünn,999-bulya
dunn-2, dünn,2572-finom
dunn-3, dünn,3214-gyenge
dunn-4,  dünn,5229-konnyu
dunn-5,  dünn,6608-osztover
dunn-6,dünn,7857-ritka
dunn-7,  dünn,8308-sovany
dunn-8,  dünn,8762-szigoru
dunn-9,  dünn,8776-szilimany
dunn-10,dünn,9803-vekony
schutter-1, schütter,999-bulya
schutter-2,schütter,3219-gyer
schutter-3,schütter,5501-laza
schutter-4, schütter,7857-ritka
schutter-5,schütter,9894-vigaly
Bumerang-1,Bumerang,1000-bumerang
aufdenUrheberzuruckfallendeBeleidigung-1,  auf den Urheber zurückfallende Beleidigung,1000-bumerang
AnschuldigungodBehauptung-1, Anschuldigung od Behauptung,1000-bumerang
Possenreier-1,Possenreißer,1001-bumfordi
Possenreier-2,Possenreißer,1449-csepurago
Possenreier-3, Possenreißer,3816-igric
Possenreier-4,  Possenreißer,5576-lepcses
Possenreier-5, Possenreißer,7310-pojaca
Possenreier-6, Possenreißer,8268-sod
Possenreier-7, Possenreißer,9427-tragar
Schauspieler-1, Schauspieler,1001-bumfordi
Schauspieler-2,  Schauspieler,4985-komedia
Schauspieler-3,  Schauspieler,8667-szemely
Einfaltspinsel-1,  Einfaltspinsel,1001-bumfordi
Einfaltspinsel-2,  Einfaltspinsel,3037-isgolyho
Einfaltspinsel-3,  Einfaltspinsel,5891-male
Einfaltspinsel-4,  Einfaltspinsel,5993-melak
Einfaltspinsel-5,Einfaltspinsel,6036-mihok
dickliches-1,  dickliches,1001-bumfordi
rundlichesKindchen-1, rundliches Kindchen,1001-bumfordi
duster-1,  düster,1001-bumfordi
duster-2,  düster,5002-komoly
duster-3,  düster,5004-komor
duster-4,düster,6236-morc
duster-5,  düster,6236-morc
duster-6,düster,6237-mord
duster-7,   düster,10068-zordon
zornig-1, zornig,1001-bumfordi
zornig-2,  zornig,3274-haboru
zornig-3, zornig,3274-haboru
zornig-4,  zornig,3391-harag
zornig-5,  zornig,6133-mereg
zornig-6,  zornig,7195-pipa
zornig-7, zornig,8321-sotet
zornig-8, zornig〉,9661-uvolt
zornig-9,  zornig,9705-vakmero
zornig-10,  zornig,10008-zab
derb-1,  derb,1001-bumfordi
derb-2,  derb,1020-busa
derb-3,  derb,1026-buta
derb-4, derb,3950-iromba
derb-5,  derb,3993-iz
derb-6, derb,4913-kocipor
derb-7, derb,6741-ostoba
derb-8, derb,9434-trampli
derb-9,  derb,9771-vaskos
derb-10, derb,9772-vastag
ungebildet-1, ungebildet,1001-bumfordi
ungebildet-2,  ungebildet,1989-durva
ungebildet-3,ungebildet,3061-goromba
ungebildet-4,  ungebildet,3061-goromba
ungebildet-5,  ungebildet,6327-mu
ungebildet-6, ungebildet,6724-ormotlan
ungebildet-7, ungebildet,6919-paraszt
ungebildet-8, ungebildet,7303-pogany
vierschrotig-1,  vierschrötig,1001-bumfordi
vierschrotig-2,vierschrötig,8969-tagbaszakadt
Bummeln-1,Bummeln,1002-bumli
Bummelzug-1,  Bummelzug,1002-bumli
bummeln-1,  bummeln,1002-bumli
bummeln-2, bummeln,2593-fityeg
bummeln-3,  bummeln,5672-log
Pelz-1,Pelz,1003-bunda
Pelz-2,Pelz,7440-prem
Pelz-3, Pelz,8415-suba
Pelz-4, Pelz,8893-szorme
Tierfell-1,  Tierfell,1003-bunda
Zottelhaar-1, Zottelhaar,1003-bunda
Zottelhaar-2,  Zottelhaar,5685-lomb
ArtWeste-1,  Art Weste,1003-bunda
Haarwuchs-1,  Haarwuchs,1003-bunda
Noteungenugend-1,  Note »ungenügend«,1003-bunda
Noteungenugend-2,  Note »ungenügend«,1005-bunko
Noteungenugend-3,  Note »ungenügend«,1960-duci
Noteungenugend-4,  Note »ungenügend«,2114-eleg
Noteungenugend-5,  Note »ungenügend«,4323-kampec
Noteungenugend-6,  Note »ungenügend«,5884-malac
Noteungenugend-7,  Note »ungenügend«,8648-szekunda
Pflanzendecke-1,  Pflanzendecke,1003-bunda
gekauftesSpiel-1,  gekauftes Spiel,1003-bunda
SchiebungMibrauchbeimFuballusw-1, Schiebung 〈Mißbrauch beim Fußball usw〉,1003-bunda
Rekrut-1,  Rekrut,1003-bunda
Rekrut-2,  Rekrut,1186-cenk
Rekrut-3,  Rekrut,5082-kopasz
Rekrut-4,Rekrut,6285-mufurc
Rekrut-5,Rekrut,7708-regruta
Rekrut-6,  Rekrut,8415-suba
Kohlenbunker-1,Kohlenbunker,1004-bunker
Deckung-1,  Deckung,1004-bunker
Luftschutzbunker-1, Luftschutzbunker,1004-bunker
Gelenkknorren-1, Gelenkknorren,1005-bunko
Gelenkknorren-2,  Gelenkknorren,1054-butyok
Gelenkknorren-3, Gelenkknorren,1587-csomo
Knotenstock-1,  Knotenstock,1005-bunko
Knotenstock-2,  Knotenstock,1030-butyko
Knotenstock-3, Knotenstock,1038-buzogany
Knotenstock-4, Knotenstock,1907-dorong
Knotenstock-5, Knotenstock,2804-furko
Knotenstock-6,Knotenstock,2813-fustely
Knotenstock-7,Knotenstock,2851-futykos
Knotenstock-8,  Knotenstock,5759-macsuka
Knotenstock-9,  Knotenstock,9524-tusko
Stampfer-1, Stampfer,1005-bunko
Kern-1,  Kern,1005-bunko
Kern-2,  Kern,5767-mag
Kern-3, Kern,5767-mag
Kern-4, Kern,9810-velo
Kern-5,  Kern,9810-velo
Grobheit-1,  Grobheit,1005-bunko
Lummel-1,  Lümmel,1005-bunko
Lummel-2,Lümmel,3731-huligan
Lummel-3, Lümmel,6919-paraszt
Lummel-4, Lümmel,7175-pimasz
Lummel-5,Lümmel,7853-ripok
Lummel-6, Lümmel,8444-surmo
Lackel-1, Lackel,1005-bunko
grobtadeln-1,  grob tadeln,1005-bunko
bunjewatzisch-1,bunjewatzisch,1006-bunyevac
Bunjewatze-1,  Bunjewatze,1006-bunyevac
Prugel-1,Prügel,1007-bunyo
Prugel-2, Prügel,1907-dorong
Prugel-3,  Prügel,3285-haddelhadd
Prugel-4,Prügel,3758-husang
Prugel-5,  Prügel,4383-kap
Prugel-6, Prügel,5507-lazsnak
Prugel-7, Prügel,7526-puff
Prugel-8,  Prügel,7980-ruha
Prugel-9, Prügel,8458-suvad
Prugel-10,  Prügel,9824-ver
Prugel-11,  Prügel,9824-ver
Prugelei-1, Prügelei,1007-bunyo
Prugelei-2, Prügelei,2455-feketeleves
Prugelei-3,  Prügelei,3594-hirig
Ohrfeige-1,  Ohrfeige,1007-bunyo
Ohrfeige-2,  Ohrfeige,2758-frasz
Ohrfeige-3,  Ohrfeige,2832-ful
Ohrfeige-4, Ohrfeige,3594-hirig
Ohrfeige-5, Ohrfeige,6466-nyakleves
Bure-1,Bure,1008-bur
Buren-1,  Buren-,1008-bur
burisch-1, burisch,1008-bur
Dudelsack-1,Dudelsack,1009-burdo
Dudelsack-2,Dudelsack,1532-csimpolya
Dudelsack-3,Dudelsack,1961-duda
ledernesSackchenfurQuark-1,  ledernes Säckchen für Quark,1009-burdo
BapfeifedesDudelsackes-1,  Baßpfeife des Dudelsackes,1009-burdo
Bauchscherzhaft-1,  Bauch 〈scherzhaft〉,1009-burdo
burgundisch-1,burgundisch,1011-burgundi
burgundisch-2,  burgundisch,1011-burgundi
Burgunderwein-1,  Burgunderwein,1011-burgundi
Burgunderrube-1,  Burgunderrübe,1011-burgundi
Gestrupp-1,Gestrüpp,1012-burjan
Gestrupp-2, Gestrüpp,1442-cseplye
Gestrupp-3,  Gestrüpp,3254-gyumolcseny
Gestrupp-4,Gestrüpp,5185-kotyor
Gestrupp-5,  Gestrüpp,8880-szo
Gestrupp-6, Gestrüpp,9680-vadon
Unkraut-1,  Unkraut,1012-burjan
Unkraut-2, Unkraut,1332-csade
Unkraut-3,Unkraut,1964-dudva
Unkraut-4,Unkraut,3230-gyom
Unkraut-5,  Unkraut,8443-surjan
Heilkraut-1,  Heilkraut,1012-burjan
Burjate-1,Burjäte,1013-burjat
burjatisch-1,  burjätisch,1013-burjat
Preue-1,Preuße,1014-burkus
Preue-2,Preuße,7371-porosz
preuisch-1,  preußisch,1014-burkus
preuisch-2,  preußisch,7371-porosz
roh-1,  roh,1014-burkus
roh-2, roh,1020-busa
roh-3, roh,1649-csunya
roh-4,  roh,1948-drasztikus
roh-5,  roh,7962-rohog
unnachgiebig-1, unnachgiebig,1014-burkus
Burleske-1,Burleske,1015-burleszk
burlesk-1,  burlesk,1015-burleszk
Schnupftabak-1,Schnupftabak,1016-burnot
Schnupftabak-2,  Schnupftabak,9478-tubak
burnusahnlDamenodHerrenmantel-1,burnusähnl Damen- od Herrenmantel,1017-burnusz
Burnus-1,  Burnus,1017-burnusz
Hulle-1,Hülle,1018-burok
Hulle-2,  Hülle,4818-koponyeg
Hulle-3,  Hülle,4819-kopeny
Hulle-4,Hülle,5580-lepel
Hulle-5,Hülle,6172-mez
Hulle-6, Hülle,6573-oltozik
Hulle-7,  Hülle,6794-palast
Hulle-8,  Hülle,9189-terit
Kapsel-1, Kapsel,1018-burok
Kapsel-2, Kapsel,4111-karton
Kapsel-3, Kapsel,4416-kapsa
Kapsel-4, Kapsel,4503-karton
Kapsel-5, Kapsel,8006-satu
Kapsel-6, Kapsel,9285-tok
Fruchtblase-1,  Fruchtblase,1018-burok
dichtesLaub-1,  dichtes Laub,1018-burok
zusammenbinden-1,  zusammenbinden,1018-burok
zusammenbinden-2,zusammenbinden,2854-fuz
essen-1,  essen,1018-burok
essen-2,essen,2271-eszik
essen-3, essen,2359-fal
essen-4,essen,4232-kajal
essen-5,  essen,5435-lakik
Bourgeois-1,Bourgeois,1019-burzsoa
untersetzt-1,untersetzt,1020-busa
untersetzt-2,  untersetzt,1021-busas
untersetzt-3, untersetzt,1915-dobloc
untersetzt-4,untersetzt,5236-kopcos
untersetzt-5, untersetzt,9379-tomerdek
untersetzt-6,  untersetzt,9385-tompe
untersetzt-7,untersetzt,9386-tomzsi
untersetzt-8, untersetzt,9771-vaskos
untersetzt-9,  untersetzt,10064-zomak
untersetzt-10,untersetzt,10073-zomok
kraftig-1, kräftig,1020-busa
kraftig-2, kräftig,1782-derek
kraftig-3,  kräftig,1803-dezentor
kraftig-4,  kräftig,3234-gyors
kraftig-5, kräftig,6494-nyers
kraftig-6, kräftig,9212-tesz
kraftig-7,kräftig,9771-vaskos
kraftig-8,  kräftig,9772-vastag
wohlhabend-1,  wohlhabend,1020-busa
wohlhabend-2,  wohlhabend,9212-tesz
pausbackig-1,  pausbäckig,1020-busa
pausbackig-2, pausbackig,7215-pirospozsgas
pausbackig-3, pausbackig,7407-pozsgas
vollStimme-1,  voll 〈Stimme〉,1020-busa
dickeAugenbrauenodeinendusterenBlickhabend-1,  dicke Augenbrauen od einen düsteren Blick habend,1020-busa
Dickkopf-1,  Dickkopf,1020-busa
ArtgrokopfigerFisch-1,  Art großköpfiger Fisch,1020-busa
breitstirnig-1,breitstirnig,1021-busas
mitkrausemStirnhaar-1, mit krausem Stirnhaar,1021-busas
rucksichtslos-1, rücksichtslos,1021-busas
rucksichtslos-2,  rücksichtslos,4991-komisz
ausgiebig-1, ausgiebig,1021-busas
ausgiebig-2,ausgiebig,4653-kiados
storrisch-1, störrisch,1021-busas
storrisch-2, störrisch,4328-kamuti
dichtAugenbrauen-1,  dicht 〈Augenbrauen〉,1021-busas
Omnibus-1, Omnibus,1022-busz
druckendeHitze-1,drückende Hitze,1023-busz
stickigeLuft-1, stickige Luft,1023-busz
Dampf-1,  Dampf,1023-busz
Dampf-2,  Dampf,2848-fust
Dampf-3,Dampf,3103-goz
Dampf-4, Dampf,8750-szesz
erstickend-1,  erstickend,1023-busz
tuckisch-1,  tückisch,1023-busz
tuckisch-2,tückisch,2373-fancsal
tuckisch-3, tückisch,2799-furcsa
tuckisch-4,tückisch,8189-sima
schwerfallig-1, schwerfällig,1024-buszma
schwerfallig-2, schwerfällig,5426-lajhar
schwerfallig-3,  schwerfallig,6385-nehez
schwerfallig-4,  schwerfällig,8930-szuszimuszi
schwerfallig-5,  schwerfällig,9063-taritoppos
schwerfallig-6,schwerfällig,9358-totyakos
hochmutig-1,  hochmütig,1024-buszma
hochmutig-2, hochmütig,1752-delceg
hochmutig-3,hochmütig,1925-dolyfos
hochmutig-4,  hochmutig,2457-fel
hochmutig-5,hochmütig,3076-gogos
hochmutig-6,  hochmütig,3473-hegy
hochmutig-7, hochmütig,3548-hetyke
hochmutig-8,hochmütig,4643-kevely
hochmutig-9, hochmütig,6377-negedes
hochmutig-10,  hochmütig,6472-nyalka
hochmutig-11,hochmutig,7661-ratarti
aufgeblasen-1, aufgeblasen,1024-buszma
aufgeblasen-2, aufgeblasen,3076-gogos
abwartsgebogen-1,abwärts gebogen,1026-buta
stumpf-1,  stumpf,1026-buta
stumpf-2,  stumpf,1026-buta
stumpf-3, stumpf,5349-kurta
stumpf-4,stumpf,7224-pisze
stumpf-5,  stumpf,9306-tompa
stumpf-6,  stumpf,9522-tusa
stumpf-7,  stumpf,9772-vastag
schwer-1,  schwer,1026-buta
schwer-2,schwer,6385-nehez
schwer-3,  schwer,8432-suly
schwer-4,  schwer,9119-teher
schwer-5,schwer,10062-zokon
dicht-1, dicht,1026-buta
dicht-2, dicht,5857-massziv
dicht-3,  dicht,8471-suru
dicht-4, dicht,8868-szorgos
dicht-5,  dicht,8871-szoros
dicht-6,  dicht,9379-tomerdek
dicht-7,  dicht,9384-tomor
dicht-8,  dicht,9772-vastag
dicht-9,  dicht,10059-zok
blind-1,  blind,1026-buta
blind-2,  blind,9702-vak
blind-3,  blind,9909-vilag
unberechenbar-1, unberechenbar,1026-buta
Dummerl-1,  Dummerl,1026-buta
Flasche-1,Flasche,1027-butelia
Flasche-2,  Flasche,1238-cilinder
Flasche-3,Flasche,2616-flaska
Flasche-4, Flasche,4437-karafina
Flasche-5,Flasche,6788-palack
Flasche-6,  Flasche,7237-pisztoly
Zelt-1,  Zelt,1028-butik
Zelt-2,  Zelt,1466-cserge
Zelt-3,Zelt,8004-sator
Hutte-1, Hütte,1028-butik
Hutte-2,  Hütte,1194-cerko
Hutte-3, Hütte,3317-hajlek
Hutte-4,Hütte,4281-kaliba
Hutte-5, Hütte,4444-karam
Hutte-6, Hütte,4953-kolesza
Hutte-7,  Hütte,5171-kotec
Hutte-8, Hütte,5317-kunyho
Hutte-9, Hütte,5370-iskutya
Hutte-10,  Hütte,8924-szurdok
kleinesModegeschaft-1,  kleines Modegeschäft,1028-butik
Mobel-1,Möbel,1029-butor
Mobel-2,  Möbel,2033-edeny
Mobel-3,  Möbel,3644-holmi
Schwellung-1, Schwellung,1030-butyko
enghalsigeFlasche-1,enghalsige Flasche,1031-butykos
enghalsigeFlasche-2,  enghalsige Flasche,5183-kotyog
ArtVogel-1,Art Vogel,1032-buvar
Taucher-1,  Taucher,1032-buvar
zurBenennungverschWasservogel-1,  〈zur Benennung versch Wasservögel〉,1032-buvar
Forscher-1,  Forscher,1032-buvar
Forscher-2,  Forscher,5365-kutat
Kornblume-1,Kornblume ,1034-buzavirag
Farberrote-1,Färberröte,1035-buzer
Homosexueller-1,Homosexueller,1036-buzerans
quellen-1, quellen,1037-buzog
quellen-2,quellen,6562-oklik
quellen-3,quellen,6611-otlik
quellen-4,  quellen,8673-szemereg
wallen-1,  wallen,1037-buzog
wallen-2, wallen,2696-forr
wallen-3,  wallen,10079-zubog
stromenlassen-1,  strömen lassen,1037-buzog
quellend-1,  quellend,1037-buzog
eifrig-1,  eifrig,1037-buzog
eifrig-2,  eifrig,2799-furcsa
eifrig-3,  eifrig,5996-meleg
eifrig-4,  eifrig,8867-szorgalom
eifrig-5,  eifrig,8868-szorgos
eifrig-6,  eifrig,9557-tuzetes
Wasserwirbel-1,  Wasserwirbel,1037-buzog
Wasserwirbel-2,  Wasserwirbel,3068-gobe
Wasserwirbel-3,Wasserwirbel,6587-ormeny
Wasserwirbel-4, Wasserwirbel,8030-sello
Qualmwasser-1,  Qualmwasser,1037-buzog
KeuleTurngerat-1,  Keule 〈Turngerät〉,1038-buzogany
InterjzumAusdruckdesGaffens-1,〈Interj zum Ausdruck des Gaffens〉,1039-bu
Zauber-1,Zauber,1040-bubaj
Zauber-2,  Zauber-,2908-garaboncias
Zauber-3,  Zauber-,9008-taltos
Quacksalberei-1, Quacksalberei,1040-bubaj
Scharm-1,  Scharm,1040-bubaj
zauberkraftig-1,  zauberkräftig,1040-bubaj
zauberkraftig-2,zauberkräftig,4040-javas
zauberkraftig-3,  zauberkräftig,4367-kantair
starkriechend-1,stark riechend,1041-budos
abstoend-1,  abstoßend,1041-budos
abstoend-2, abstoßend,1052-buszke
unangenehm-1,  unangenehm,1041-budos
unangenehm-2,unangenehm,1231-ciki
unangenehm-3,  unangenehm,1231-ciki
unangenehm-4,  unangenehm,4700-kellemetlen
unangenehm-5, unangenehm,6385-nehez
unangenehm-6,  unangenehm,6501-nyikorog
unangenehm-7, unangenehm,7991-rut
beangstigendAngelegenheit-1, beängstigend 〈Angelegenheit,1041-budos
Situation-1, Situation〉,1041-budos
AuslaufineinemBallspiel-1,  Auslauf in einem Ballspiel,1041-budos
AuslaufineinemBallspiel-2,  Auslauf in einem Ballspiel,1057-buz
Gefangnis-1,  Gefängnis,1041-budos
Gefangnis-2,Gefängnis,2641-foghaz
Gefangnis-3,  Gefängnis,3782-huvos
Gefangnis-4,  Gefängnis,4289-kalitka
Gefangnis-5,  Gefängnis,5171-kotec
Gefangnis-6, Gefängnis,5172-koter
Gefangnis-7, Gefängnis,9383-tomloc
Sammetblume-1,Sammetblume,1042-budoske
Hundille-1,  Hundille,1042-budoske
einegewisseStelleineinemBallspiel-1,  eine gewisse Stelle in einem Ballspiel,1042-budoske
Wanze-1,  Wanze,1042-budoske
Wanze-2,  Wanze,1526-csimasz
Wanze-3,  Wanze,2979-gergelice
Wanze-4,Wanze,6776-paklincs
Wanze-5,Wanze,6789-palacka
Wanze-6,Wanze,7332-poloska
Blindwanze-1, Blindwanze,1042-budoske
eineWeinstockart-1,  eine Weinstockart,1042-budoske
Budget-1,Budget,1043-budzse
Anrichte-1,Anrichte,1044-bufe
Anrichte-2,  Anrichte,8633-szek
kaltesBufett-1,  kaltes Büfett,1044-bufe
Buchenwald-1,Buchenwald,1045-bukk
Buche-1,  Buche,1045-bukk
Sunde-1,Sünde,1047-bun
Sunde-2, Sünde,3053-gonosz
Sunde-3,Sünde,5431-lak
Sunde-4,  Sünde,8714-szeplo
Sunde-5, Sünde〉,9217-tetemes
Sunde-6,  Sünde,9863-vet
Sunde-7,  Sünde,9863-vet
Gesetzesbruch-1,  Gesetzesbruch,1047-bun
Fehler-1,  Fehler,1047-bun
Fehler-2,  Fehler,2899-gancs
Fehler-3,Fehler,3002-gikszer
Fehler-4, Fehler,3559-hiba
Fehler-5,  Fehler,7641-ranc
Mangel-1, Mangel,1047-bun
Mangel-2, Mangel,1595-csorba
Mangel-3,Mangel,1736-defektus
Mangel-4,Mangel,1737-deficit
Mangel-5, Mangel,2647-fogy
Mangel-6,  Mangel,3559-hiba
Mangel-7, Mangel,7641-ranc
Mangel-8,  Mangel,8940-szuk
sunden-1,  sünden,1047-bun
sunden-2,  sünden,1047-bun
versundigen-1,  versündigen,1047-bun
Sundenbock-1,Sündenbock,1048-bunbak
Burokrat-1,Bürokrat,1049-burokrata
Burokrat-2,  Bürokrat,5911-mandarin
burokratisch-1,  bürokratisch,1049-burokrata
Schierling-1,Schierling ,1050-burok
Laufbrucke-1,Laufbrücke,1051-buru
Landenge-1,  Landenge,1051-buru
Erdzunge-1, Erdzunge,1051-buru
selbstbewut-1, selbstbewußt,1052-buszke
selbstbewut-2, selbstbewußt,1752-delceg
