ID,Name,Concepticon_ID,Concepticon_Gloss
233-sprache,Sprache,1307,LANGUAGE
234-stimme,Stimme,1363,VOICE
235-wort,Wort,1599,WORD
236-zeichen,Zeichen,1720,SIGN
237-ruf,Ruf,2944,CALL (APPEAL)
238-larm,Lärm,1182,NOISE
239-laut,Laut,1811,SOUND OR NOISE
240-ton,Ton,2995,TONE (MUSIC)
241-lied,Lied,1096,SONG
242-ruhe,Ruhe,3458,SILENCE
244-volk,Volk,789,PEOPLE
245-arbeit,Arbeit,984,WORK (LABOUR)
247-geschenk,Geschenk,2982,GIFT
248-spiel,Spiel,2467,GAME
249-gesellschaft,Gesellschaft,2983,COMPANIONSHIP
250-hilfe,Hilfe,3467,HELP (ASSISTANCE)
251-freund,Freund,1325,FRIEND
253-angelegenheit,Angelegenheit,2214,AFFAIR
254-anzahl,Anzahl,2945,COUNT (QUANTITY)
255-art,Art,844,KIND (THING)
256-stuck,Stück,594,PIECE
257-teil,Teil,779,PART
258-halfte,Hälfte,816,HALF
259-kreis,Kreis,1467,CIRCLE
260-kreuz,Kreuz,1367,CROSS
261-linie,Linie,1048,LINE
262-strich,Strich,2993,STROKE (OF PEN)
265-gegend,Gegend,2980,AREA
266-platz,Platz,3006,SPACE (AVAILABLE)
267-ort,Ort,723,PLACE (POSITION)
268-seite,Seite,682,SIDE
269-mitte,Mitte,1093,MIDDLE
270-gegenstand,Gegenstand,2981,ITEM
271-sache,Sache,738,THING
272-rand,Rand,2989,FRINGE
273-kante,Kante,863,EDGE
274-ecke,Ecke,192,CORNER
275-spitze,Spitze,2992,TIP (OF OBJECT)
277-loch,Loch,1667,HOLE
279-muster,Muster,2988,PATTERN
280-groe,Größe,2845,SIZE (OF OBJECT)
281-lange,Länge,2537,LENGTH
282-hohe,Höhe,2985,HEIGHT
283-gewicht,Gewicht,2466,WEIGHT
284-menge,Menge,2987,AMOUNT
285-haufen,Haufen,2984,HEAP
287-boot,Boot,1844,BOAT
289-schlitten,Schlitten,16,SLED
292-last,Last,1679,LOAD
293-gang,Gang,2979,WALK (MANNER)
295-norden,Norden,1598,NORTH
296-suden,Süden,1595,SOUTH
297-westen,Westen,1817,WEST
298-osten,Osten,1877,EAST
299-holz,Holz,1803,WOOD
300-brett,Brett,1227,BOARD
301-platte,Platte,2952,SLAB
302-stutze,Stütze,2994,SUPPORT (OF OBJECT)
303-stange,Stange,281,POST
304-stock,Stock,1295,STICK
306-rohr,Rohr,2956,TUBE
307-haus,Haus,1252,HOUSE
308-heim,Heim,2406,HOME
309-ofen,Ofen,859,STOVE
310-fuboden,Fußboden,1632,FLOOR
311-tisch,Tisch,1775,TABLE
312-stuhl,Stuhl,1476,CHAIR
313-wiege,Wiege,2946,CRADLE
314-bett,Bett,1663,BED
315-regal,Regal,745,SHELF
316-kiste,Kiste,1465,BOX
317-fenster,Fenster,1375,WINDOW
318-tur,Tür,1567,DOOR
319-tor,Tor,2940,GATE
320-zaun,Zaun,1690,FENCE
321-dach,Dach,769,ROOF
322-leiter,Leiter,1464,LADDER
323-besen,Besen,245,BROOM
324-spaten,Spaten,1176,SPADE
325-schaufel,Schaufel,1901,SHOVEL
326-gabel,Gabel,1302,FORK
327-loffel,Löffel,1378,SPOON
328-messer,Messer,1352,KNIFE
329-nagel,Nagel,502,NAIL (TOOL)
330-netz,Netz,2963,NET
331-haken,Haken,1071,HOOK
332-griff,Griff,1254,HANDLE
334-bild,Bild,3303,PICTURE (PAINTING)
335-figur,Figur,1945,IDOL
336-puppe,Puppe,1659,DOLL
337-beutel,Beutel,2951,POUCH
338-bundel,Bündel,2943,BUNDLE
339-tasche,Tasche,2468,BAG
340-eimer,Eimer,2052,BUCKET
341-deckel,Deckel,2319,"LID (COVER, CAP)"
342-geschirr,Geschirr,481,DISH
343-sack,Sack,2990,SACK
344-tasse,Tasse,476,CUP
345-topf,Topf,1462,POT
346-kessel,Kessel,854,KETTLE
348-nahrung,Nahrung,256,FOOD
350-fleisch,Fleisch,634,MEAT
352-brei,Brei,3651,MUSH (FOOD)
353-brot,Brot,1368,BREAD
354-scheibe,Scheibe,2954,SLICE
355-fett,Fett,323,FAT (ORGANIC SUBSTANCE)
356-butter,Butter,1245,BUTTER
357-ol,Öl,1484,OIL (ORGANIC SUBSTANCE)
358-salz,Salz,1274,SALT
359-suppe,Suppe,1547,SOUP
360-honig,Honig,942,HONEY
361-milch,Milch,635,MILK
363-leder,Leder,629,LEATHER
364-wolle,Wolle,964,WOOL
365-stoff,Stoff,1616,CLOTH
367-faden,Faden,1161,THREAD
369-knoten,Knoten,760,KNOT
370-farbe,Farbe,647,PAINT (PIGMENTS)
371-kleidung,Kleidung,1895,CLOTHES
372-hemd,Hemd,1622,SHIRT
373-kragen,Kragen,2012,COLLAR
374-armel,Ärmel,2953,SLEEVE
375-hose,Hose,809,TROUSERS
376-gurtel,Gürtel,772,BELT
377-mutze,Mütze,1288,CAP
378-schuh,Schuh,1381,SHOE
379-stiefel,Stiefel,585,BOOT
380-ring,Ring,1374,RING
381-band,Band,2969,RIBBON
382-kamm,Kamm,1475,COMB
383-spiegel,Spiegel,1171,MIRROR
384-riemen,Riemen,2973,STRAP
385-schnur,Schnur,362,STRING
387-decke,Decke,806,BLANKET
388-kissen,Kissen,1044,PILLOW
390-handtuch,Handtuch,1021,TOWEL
392-starke,Stärke,202,STRENGTH
393-gesundheit,Gesundheit,1364,HEALTHY
394-krankheit,Krankheit,1986,DISEASE
396-wunde,Wunde,1109,WOUND
397-fieber,Fieber,1534,FEVER
398-arznei,Arznei,1372,MEDICINE
399-brucke,Brücke,1011,BRIDGE
400-brunnen,Brunnen,954,WELL
401-weide,Weide,649,PASTURE
402-pfad,Pfad,2252,PATH
404-strae,Straße,667,ROAD
405-dorf,Dorf,930,VILLAGE
406-stadt,Stadt,1391,TOWN
407-brief,Brief,1612,LETTER
408-buch,Buch,963,BOOK
409-buchstabe,Buchstabe,1024,CHARACTER
410-zeitung,Zeitung,1298,NEWSPAPER
411-leben,Leben,210,LIFE
412-tod,Tod,910,DEATH
413-grab,Grab,1773,GRAVE
414-kirche,Kirche,1349,CHURCH
415-sunde,Sünde,2971,SIN
416-gott,Gott,3231,DEITY
417-arbeiter,Arbeiter,2977,WORKER
418-chef,Chef,2930,BOSS
419-meister,Meister,383,MASTER
420-arzt,Arzt,597,PHYSICIAN
421-lehrer,Lehrer,1038,TEACHER
422-geld,Geld,1559,MONEY
423-geschaft,Geschäft,2931,BUSINESS
424-laden,Laden,746,SHOP
425-preis,Preis,657,PRICE
426-ware,Ware,2957,WARE
427-nutzen,Nutzen,2929,BENEFIT
428-reichtum,Reichtum,2996,WEALTH
429-welt,Welt,965,WORLD
430-land,Land,1300,COUNTRY
431-staat,Staat,2955,STATE (POLITICS)
432-konig,König,1508,KING
433-macht,Macht,2526,POWER
434-grenze,Grenze,2546,BORDER
435-krieg,Krieg,935,WAR
436-feind,Feind,1358,ENEMY
437-gewalt,Gewalt,2976,VIOLENCE
439-bogenwaffe,Bogen[Waffe],994,BOW
440-pfeil,Pfeil,977,ARROW
441-gewehr,Gewehr,1566,GUN
442-fehler,Fehler,1293,MISTAKE
443-luge,Lüge,2826,LIE (FALSEHOOD)
444-schaden,Schaden,2947,DAMAGE (INJURY)
445-ungluck,Unglück,56,BAD LUCK
446-schuld,Schuld,134,FAULT
447-alter,Alter,1789,AGE
448-schluss,Schluss,743,END (OF TIME)
449-zeit,Zeit,892,TIME
450-tag,Tag,1225,DAY (NOT NIGHT)
452-mittag,Mittag,12,MIDDAY
453-abend,Abend,1629,EVENING
454-nacht,Nacht,1233,NIGHT
455-woche,Woche,1469,WEEK
456-monat,Monat,1370,MONTH
457-jahr,Jahr,1226,YEAR
458-fruhling,Frühling,1537,SPRINGTIME
459-sommer,Sommer,1342,SUMMER
460-herbst,Herbst,1276,AUTUMN
461-winter,Winter,1471,WINTER
462-januar,Januar,2036,JANUARY
463-februar,Februar,2037,FEBRUARY
464-marz,März,2846,MARCH
465-april,April,2847,APRIL
466-mai,Mai,2848,MAY (MONTH)
467-juni,Juni,2849,JUNE
468-juli,Juli,2850,JULY
469-august,August,2851,AUGUST
470-september,September,2852,SEPTEMBER
471-oktober,Oktober,2853,OCTOBER
472-november,November,2854,NOVEMBER
473-dezember,Dezember,2855,DECEMBER
474-montag,Montag,1697,MONDAY
475-dienstag,Dienstag,1695,TUESDAY
476-mittwoch,Mittwoch,1694,WEDNESDAY
477-donnerstag,Donnerstag,1693,THURSDAY
478-freitag,Freitag,1692,FRIDAY
480-sonntag,Sonntag,1699,SUNDAY
481-gro,groß,1202,BIG
482-klein,klein,1246,SMALL
483-lang,lang,1203,LONG
484-kurz,kurz,1645,SHORT
485-breit,breit,1243,WIDE
486-schmal,schmal,1267,NARROW
487-dicht,dicht,2239,DENSE
489-dunn,dünn,2249,THIN (OF SHAPE OF OBJECT)
490-fein,fein,2157,FINE OR THIN
491-fest,fest,3003,SOLID
492-flach,flach,1633,FLAT
493-glatt,glatt,1234,SMOOTH
494-hart,hart,1884,HARD
495-weich,weich,1856,SOFT
496-rund,rund,1395,ROUND
497-spitz,spitz,372,POINTED
498-scharf,scharf,1396,SHARP
499-stumpf,stumpf,379,BLUNT
500-schwer,schwer,1210,HEAVY
501-schon,schön,1427,BEAUTIFUL
502-hei,heiß,1286,HOT
503-warm,warm,1232,WARM
504-kalt,kalt,1287,COLD
505-kuhl,kühl,2483,COLD (OF WEATHER)
506-frisch,frisch,243,FRESH
507-feucht,feucht,2998,DAMP
509-trocken,trocken,1398,DRY
510-voll,voll,1429,FULL
511-leer,leer,1624,EMPTY
512-offen,offen,3235,OPEN (STATE)
514-sauber,sauber,704,CLEAN
515-schmutzig,schmutzig,1230,DIRTY
516-roh,roh,1959,RAW
517-reif,reif,178,RIPE
519-su,süß,717,SWEET
520-bitter,bitter,887,BITTER
521-sauer,sauer,1906,SOUR
522-hell,hell,679,BRIGHT
523-dunkel,dunkel,706,DARK
524-schwarz,schwarz,163,BLACK
525-wei,weiß,1335,WHITE
526-rot,rot,156,RED
527-gelb,gelb,1424,YELLOW
528-blau,blau,837,BLUE
529-grun,grün,1425,GREEN
531-bunt,bunt,2997,COLORFUL
532-billig,billig,1887,CHEAP
533-teuer,teuer,1426,EXPENSIVE
534-wertvoll,wertvoll,3002,PRECIOUS
535-blind,blind,1653,BLIND
536-taub,taub,996,DEAF
537-kraftig,kräftig,3001,POWERFUL
538-stark,stark,785,STRONG
539-schwach,schwach,1601,WEAK
540-fett,fett,1279,FAT (OBESE)
541-schlank,schlank,1400,THIN (SLIM)
542-hubsch,hübsch,2410,GOOD-LOOKING
543-bose,böse,45,EVIL
544-dumm,dumm,1518,STUPID
545-faul,faul,1564,LAZY
546-fleiig,fleißig,2077,DILIGENT
547-geizig,geizig,1774,STINGY
548-klug,klug,1310,CLEVER
549-geschickt,geschickt,1824,DEXTEROUS
550-lieb,lieb,2470,DEAR
551-lustig,lustig,1976,MERRY
552-sanft,sanft,1954,GENTLE
553-hungrig,hungrig,1533,BE HUNGRY
554-krank,krank,1847,SICK
555-nackt,nackt,590,NAKED
556-traurig,traurig,699,SAD
558-gut,gut,1035,GOOD
559-schlecht,schlecht,1292,BAD
560-richtig,richtig,1725,CORRECT (RIGHT)
561-schlimm,schlimm,419,SEVERE
562-wahr,wahr,1657,TRUE
563-alt,alt,1229,OLD
564-neu,neu,1231,NEW
567-jung,jung,1207,YOUNG
568-arm,arm,1674,POOR
569-reich,reich,712,RICH
570-bekannt,bekannt,3005,FAMILIAR
572-fremd,fremd,109,FOREIGN
573-verschieden,verschieden,2504,DIFFERENT
574-nah,nah,1942,NEAR
575-fern,fern,1406,FAR
578-anderer,anderer,197,OTHER
579-erster,erster,728,FIRST
580-zweiter,zweiter,1384,SECOND
581-dritter,dritter,1859,THIRD
582-letzter,letzter,1529,LAST (FINAL)
583-allein,allein,1964,ALONE
584-aufeinmal,auf einmal,1963,IMMEDIATELY
585-zusammen,zusammen,2482,TOGETHER
586-lange,lange,418,FOR A LONG TIME
587-plotzlich,plötzlich,2920,SUDDENLY
588-sofort,sofort,2916,INSTANTLY (IMMEDIATELY)
590-jetzt,jetzt,1376,NOW
591-heute,heute,1283,TODAY
592-morgen,morgen,1329,TOMORROW
593-bald,bald,703,SOON
594-dann,dann,2921,THEN
595-gestern,gestern,1174,YESTERDAY
596-einst,einst,2914,ONCE (IN THE PAST)
598-danach,danach,2093,AFTERWARDS
599-vorher,vorher,1882,BEFORE
600-zuerst,zuerst,2915,AT FIRST
601-einmal,einmal,374,ONE TIME
602-manchmal,manchmal,1544,SOMETIMES
603-oft,oft,1852,OFTEN
604-immer,immer,1676,ALWAYS
605-niemals,niemals,1656,NEVER
606-hier,hier,136,HERE
607-hierhin,hierhin,2925,HITHER (HERE TO)
608-vonhier,von hier,2927,FROM HERE
609-dort,dort,1937,THERE
610-dorthin,dorthin,2923,THITHER (THERE TO)
612-vorwarts,vorwärts,2912,FORWARD
614-zuruck,zurück,2910,BACK (DIRECTION)
615-unten,unten,721,LOW
616-hinab,hinab,1326,DOWN
617-oben,oben,1265,HIGH
618-hinauf,hinauf,1591,UP
619-uberall,überall,2999,EVERYWHERE
620-nicht,nicht,1240,NOT
621-einwenig,ein wenig,2924,A LITTLE
622-kaum,kaum,2926,HARDLY
623-sehr,sehr,1311,VERY
624-so,so,2336,OF THIS KIND (SUCH)
625-noch,noch,2919,STILL (CONTINUING)
626-nur,nur,1580,ONLY
627-schon,schon,2576,ALREADY
628-wieder,wieder,204,AGAIN
629-vergebens,vergebens,1765,IN VAIN
630-vor,vor,1883,IN FRONT OF
633-durch,durch,97,THROUGH
634-neben,neben,2917,NEXT TO
636-wegen,wegen,2918,BECAUSE OF
637-dies,dies,1214,THIS
638-das,das,78,THAT
639-alles,alles,98,ALL
640-ich,ich,1209,I
641-du,du,1215,THOU
642-er,er,1211,HE
643-wir,wir,1212,WE
644-ihr,ihr,1213,YOU
645-sie,sie,817,THEY
646-was,was,1236,WHAT
647-wer,wer,1235,WHO
648-wo,wo,1237,WHERE
649-wohin,wohin,2928,WHITHER (WHERE TO)
650-wie,wie,1239,HOW
651-warum,warum,1270,WHY
652-wieviel,wieviel,822,HOW MANY
653-eins,eins,1493,ONE
654-zwei,zwei,1498,TWO
655-drei,drei,492,THREE
656-vier,vier,1500,FOUR
657-funf,fünf,493,FIVE
658-sechs,sechs,1703,SIX
659-sieben,sieben,1704,SEVEN
660-acht,acht,1705,EIGHT
661-neun,neun,1483,NINE
662-zehn,zehn,1515,TEN
665-zwanzig,zwanzig,1710,TWENTY
666-dreiig,dreißig,1715,THIRTY
667-vierzig,vierzig,1716,FORTY
668-funfzig,fünfzig,1717,FIFTY
669-sechzig,sechzig,1718,SIXTY
670-siebzig,siebzig,1721,SEVENTY
671-achtzig,achtzig,1722,EIGHTY
672-neunzig,neunzig,1724,NINETY
673-hundert,hundert,1634,HUNDRED
674-tausend,tausend,1843,THOUSAND
675-und,und,1577,AND
676-oder,oder,1014,OR
677-stehen,stehen,1442,STAND
678-sitzen,sitzen,1416,SIT
679-liegen,liegen,1411,LIE (REST)
680-hangen,hängen,2884,HANG
681-werden,werden,1990,BECOME
682-passieren,passieren,248,HAPPEN
684-enden,enden,1928,CEASE
685-wechseln,wechseln,2857,CHANGE (BECOME DIFFERENT)
686-aufgehensonne,aufgehen[Sonne],568,RISE (MOVE UPWARDS)
689-donnern,donnern,2378,THUNDER (VERB)
690-wehen,wehen,175,BLOW (OF WIND)
691-stromen,strömen,2858,STREAM (FLOW CONTINUOUSLY)
692-flieen,fließen,2003,FLOW
694-schwanken,schwanken,573,SWAY
695-schwingen,schwingen,2871,SWING (MOVEMENT)
696-fallen,fallen,1280,FALL
697-brennen,brennen,1428,BURNING
700-gefrieren,gefrieren,1431,FREEZE
702-schmelzen,schmelzen,2334,MELT
703-trocknen,trocknen,1786,DRY UP
704-sieden,sieden,792,BOIL (OF LIQUID)
705-faulen,faulen,569,SPOIL (BECOME SPOILED)
706-verfaulen,verfaulen,2907,ROT
707-reien,reißen,460,BREAK (OF ROPE)
708-versinken,versinken,1088,SINK (DESCEND)
709-vergehen,vergehen,1951,PASS
710-erscheinen,erscheinen,1076,EMERGE (APPEAR)
711-verschwinden,verschwinden,485,DISAPPEAR
713-abnehmen,abnehmen,2864,DECREASE
714-zunehmen,zunehmen,1041,INCREASE
716-wachsen,wachsen,479,GROW
718-funkeln,funkeln,2889,TWINKLE
720-lauten,läuten,2897,CHIME (ACTION)
721-klingeln,klingeln,2875,RING (MAKE SOUND)
723-brausen,brausen,2876,ROAR (OF SEA)
724-rauschen,rauschen,2877,RUSTLE (OF LEAVES)
725-klingen,klingen,2879,SOUND (OF INSTRUMENT OR VOICE)
726-bellen,bellen,1206,BARKING
727-heulen,heulen,526,HOWL
728-blasen,blasen,176,BLOW (WITH MOUTH)
729-pfeifen,pfeifen,1025,WHISTLE
730-schreien,schreien,715,SHOUT
731-stohnen,stöhnen,716,GROAN
732-zittern,zittern,52,SHIVER
733-leben,leben,1422,BE ALIVE
734-geborenwerden,geboren werden,1090,BE BORN
735-atmen,atmen,1407,BREATHE
736-trinken,trinken,1401,DRINK
737-essen,essen,1336,EAT
738-schlucken,schlucken,897,SWALLOW
740-einschlafen,einschlafen,1106,FALL ASLEEP
741-schlafen,schlafen,1585,SLEEP
742-aufwachen,aufwachen,1602,WAKE UP
744-sicherholen,sich erholen,168,REST
745-krankwerden,krank werden,2327,BECOME SICK
747-schmerzen,schmerzen,1815,ACHE
748-husten,husten,879,COUGH
749-genesen,genesen,1978,RECOVER
750-sterben,sterben,1494,DIE
751-umkommen,umkommen,2865,DIE (FROM ACCIDENT)
752-sichbewegen,sich bewegen,2874,MOVE (ONESELF)
753-sichruhren,sich rühren,2861,BUDGE (ONESELF)
754-sicherheben,sich erheben,570,STAND UP
755-sichsetzen,sich setzen,1649,SIT DOWN
756-hinfallen,hinfallen,2894,TUMBLE (FALL DOWN)
757-laufen,laufen,1443,WALK
758-schreiten,schreiten,2065,STEP (VERB)
760-eilen,eilen,2860,BOLT (MOVE IN HASTE)
761-sichbeeilen,sich beeilen,754,HURRY
762-sausen,sausen,2863,DASH (OF VEHICLE)
763-rennen,rennen,1519,RUN
764-springen,springen,1829,JUMP
765-klettern,klettern,1102,CLIMB
767-kriechen,kriechen,3215,CREEP
768-schwimmen,schwimmen,1439,SWIM
769-tauchen,tauchen,119,DIVE
770-rudern,rudern,1849,ROW
771-fahren,fahren,741,DRIVE
772-fliegen,fliegen,1441,FLY (MOVE THROUGH AIR)
773-gehen,gehen,695,GO
774-weggehen,weggehen,1752,LEAVE
776-anhalten,anhalten,2880,HALT (STOP)
777-hineingehen,hineingehen,749,ENTER
779-kommen,kommen,1446,COME
780-ankommen,ankommen,1387,ARRIVE
783-warten,warten,1590,WAIT (FOR)
785-suchen,suchen,1468,LOOK FOR
786-finden,finden,719,FIND
787-versuchen,versuchen,1812,TRY
789-lieben,lieben,923,LOVE
